CODIGO	CLAVE	PRECIO1	PRECIO2	COSTO	ULTIMO_COSTO	DESCRIPCION
01302218	TSC1040TM	0.0000	0.0000	13325.6550	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 273.1 X 09.3 MM. (10" CED. 40)
01103311	CP21/2F905	0.0000	0.0000	0.0000	0.0000	COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 905 DE 064 MM. (2 1/2")
01103312	CP8F905	0.0000	0.0000	3534.1855	3308.1228	COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 905 DE 203 MM. (8")
01402210	VCP3F794KIT	0.0000	0.0000	25075.0211	25075.0211	VALV. CONTROLADORA DE PRESION VICTAULIC FIGURA 794 DE 076 MM. BRID. (3") C/RANGO 2.9-11.6 PSI INC. TUBO CAPILAR V030794116
01402211	VCP21/2F794KIT	0.0000	0.0000	21874.9806	21874.9806	VALV. CONTROLADORA DE PRESION VICTAULIC FIGURA 794 DE 064 MM. BRID. (2 1/2") C/RANGO 2.9-11.6 PSI INC. TUBO CAPILAR V024794116
01402212	VCP2F793KIT	0.0000	0.0000	5417.3768	5417.3768	VALV. CONTROLADORA DE PRESION VICTAULIC FIGURA 793 DE 051 MM. (2") INC. TUBO CAPILAR V020793CBV
01302220	TSC1080SAI304	0.0000	0.0000	13859.3638	13859.3638	TUBO A/INOX. S/COSTURA T-304 DE 273.1 X 12.7 MM. (10" CED. 80S)
01302221	TCC340ULFM	0.0000	0.0000	683.5494	683.5494	TUBO DE A/C C/C DE 088.9 X 05.5 MM. (3 CED. 40) UL/FM
01103326	CP2F905	0.0000	0.0000	1187.1953	1197.5892	COPLE PARA TUBO DE HDPE VICTAULIC FIGURA 905 DE 051 MM. (2")
01302222	TCC6GRYC	0.0000	0.0000	5504.2600	5504.2600	TUBO A/C CON COSTURA DE 168.3 PARED GRUESA  PESADO GALV. ROSC. (6" CONDUIT) CON COPLE
01302223	TSC3XXS	0.0000	0.0000	1588.4865	1588.4865	TUBO DE ACERO AL CARBON SIN COSTURA 088.9 X 15.2 MM. (3" CED. XXS)
01302225	TCC3/440TM	0.0000	0.0000	255.9880	0.0000	TUBO DE ACERO AL CARBON CON COSTURA DE 026.7 X 02.9 MM. (3/4" CED. 40)
01302226	TSC180TM	0.0000	0.0000	954.2919	961.1311	TUBO DE ACERO AL CARBON SIN COSTURA 033.4 X 04.6 MM. (1" CED. 80)
01302227	TCC11/440RA	0.0000	0.0000	93.9783	93.9783	TUBO DE ACERO AL CARBON CON COSTURA DE 042.2 X 03.6 MM. RANURADO (1 1/4" CED. 40)
01302228	TCC11/440GL	0.0000	0.0000	129.5700	0.0000	TUBO DE ACERO AL CARBON CON COSTURA  DE 042.2 X 03.6 MM. GALV. LISO (1 1/4" CED. 40)
01302041	TCPVC11/4BLAZE	0.0000	0.0000	242.2200	242.2200	TUBO DE CPVC DE 032 MM. BLAZE (1 1/4")
01302229	TCPVC21/280CORZAN	0.0000	0.0000	0.0000	0.0000	TUBO DE CPVC CORZAN DE 064 MM.  (2 1/2" CED. 80)
01302230	TCC210AI316	0.0000	0.0000	0.0000	0.0000	TUBO A/INOX. C/COSTURA T-316 DE 060.3 X 02.8 MM. (2" CED. 10)
01302231	TCC11/210AI316	0.0000	0.0000	0.0000	0.0000	TUBO A/INOX. C/COSTURA T-316 DE 048.3 X 02.1 MM. (1 1/2" CED. 10)
01302232	TCC110AI316	0.0000	0.0000	0.0000	0.0000	TUBO A/INOX. C/COSTURA T-316 DE 033.4 X 02.8 MM. (1" CED 10)
01302233	TCC1820	0.0000	0.0000	0.0000	0.0000	TUBO DE ACERO AL CARBON CON COSTURA DE 457 X 7.92 MM. (18" CED. 20)
